"subj","image_model","oddball","target_loc","ms_stim","synth_num","crop_x","crop_y","crop_x_2","crop_y_2","session","test_location","rand_seed","trial","response","rt","eye_valid","prop_eye_valid","correct","image_code","image_name","presentation_cond","subj_display","sex","age","first.pres_time"
"S8","conv2",0,2,2000,4,5,1,1,129,2,"cin",211833.6367,183,"1",2.55452319000005,NA,NA,0,"MetalFloorsBare0024_1_S","Metal","Inspection","Naive","f",26,200
"S8","conv4",0,2,2000,6,94,1,18,129,2,"cin",211833.6367,184,"1",2.35173064499941,NA,NA,0,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv5",1,2,2000,10,1,84,129,103,2,"cin",211833.6367,185,"2",2.29048970999975,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","conv3",0,3,2000,9,69,1,116,129,2,"cin",211833.6367,186,"2",2.33838234999939,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","Naive","f",26,200
"S8","conv4",0,2,2000,3,1,8,129,20,2,"cin",211833.6367,187,"3",2.38638426499938,NA,NA,0,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv4",1,2,2000,9,1,73,129,92,2,"cin",211833.6367,188,"1",2.67083069499995,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","Naive","f",26,200
"S8","PS",0,3,2000,4,1,127,129,65,2,"cin",211833.6367,189,"2",2.25786511499973,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","Naive","f",26,200
"S8","PS",1,3,2000,10,1,57,129,79,2,"cin",211833.6367,190,"3",2.25236349999977,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","Naive","f",26,200
"S8","conv1",0,1,2000,6,1,1,115,129,2,"cin",211833.6367,191,"2",2.45448150999937,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","conv2",1,3,2000,8,1,64,129,104,2,"cin",211833.6367,192,"2",2.29909342500014,NA,NA,0,"Vegetables0024_1_S","Beans","Inspection","Naive","f",26,200
"S8","PS",0,3,2000,9,122,1,58,129,2,"cin",211833.6367,193,"3",1.99558086499974,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv2",1,1,2000,10,1,40,129,88,2,"cin",211833.6367,194,"1",1.71215110000003,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","Naive","f",26,200
"S8","conv3",0,1,2000,10,69,1,61,129,2,"cin",211833.6367,195,"3",1.61871105499995,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv3",1,3,2000,6,64,1,57,129,2,"cin",211833.6367,196,"2",1.81467122999993,NA,NA,0,"Vegetables0024_1_S","Beans","Inspection","Naive","f",26,200
"S8","PS",0,2,2000,8,30,1,126,129,2,"cin",211833.6367,197,"1",1.61211868999999,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","conv1",0,1,2000,4,1,48,129,97,2,"cin",211833.6367,198,"3",2.21077090999961,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","Naive","f",26,200
"S8","PS",1,3,2000,8,1,10,129,52,2,"cin",211833.6367,199,"3",2.16956137499983,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","Naive","f",26,200
"S8","conv3",1,3,2000,3,54,1,28,129,2,"cin",211833.6367,200,"3",2.37737204499945,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv3",1,2,2000,7,126,1,16,129,2,"cin",211833.6367,201,"1",0,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv3",0,3,2000,9,1,99,129,42,2,"cin",211833.6367,202,"3",2.81063802499966,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv4",1,2,2000,8,54,1,120,129,2,"cin",211833.6367,203,"1",2.44518392999998,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","Naive","f",26,200
"S8","conv3",1,3,2000,8,1,76,129,28,2,"cin",211833.6367,204,"3",1.99379518999967,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv1",1,3,2000,2,94,1,5,129,2,"cin",211833.6367,205,"3",1.77431614999978,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv5",1,3,2000,2,1,2,129,116,2,"cin",211833.6367,206,"1",2.27500204499984,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","conv4",0,3,2000,4,86,1,60,129,2,"cin",211833.6367,207,"3",2.53570815999956,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv1",0,2,2000,9,73,1,121,129,2,"cin",211833.6367,208,"2",2.18541827499939,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","Naive","f",26,200
"S8","conv3",0,2,2000,6,97,1,120,129,2,"cin",211833.6367,209,"2",2.29451612999992,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","Naive","f",26,200
"S8","conv2",0,2,2000,2,1,19,129,124,2,"cin",211833.6367,210,"1",2.39569610999979,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv2",0,1,2000,2,107,1,80,129,2,"cin",211833.6367,211,"3",2.16252783999971,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","Naive","f",26,200
"S8","conv5",0,2,2000,4,1,26,129,10,2,"cin",211833.6367,212,"3",1.50381221499947,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","Naive","f",26,200
"S8","conv2",0,3,2000,4,119,1,109,129,2,"cin",211833.6367,213,"3",2.08912434999957,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","Naive","f",26,200
"S8","PS",0,1,2000,5,1,46,129,90,2,"cin",211833.6367,214,"2",1.91585161999956,NA,NA,0,"Crackles0004_1_S","Cracks","Inspection","Naive","f",26,200
"S8","conv2",1,3,2000,5,101,1,126,129,2,"cin",211833.6367,215,"3",2.16609522999943,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","Naive","f",26,200
"S8","conv3",1,3,2000,2,1,2,129,125,2,"cin",211833.6367,216,"2",1.92858158499985,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv5",0,1,2000,6,48,1,81,129,2,"cin",211833.6367,217,"1",2.26882301999967,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","Naive","f",26,200
"S8","conv3",0,3,2000,4,1,105,129,103,2,"cin",211833.6367,218,"1",2.26939231999995,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","Naive","f",26,200
"S8","conv5",1,2,2000,6,18,1,31,129,2,"cin",211833.6367,219,"2",2.57368870999971,NA,NA,1,"PaperCrumpled0004_1_S","Paper","Inspection","Naive","f",26,200
"S8","PS",1,3,2000,1,1,9,129,60,2,"cin",211833.6367,220,"3",2.54621243499969,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv1",1,2,2000,4,1,122,129,8,2,"cin",211833.6367,221,"2",1.61345213999994,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv1",0,3,2000,1,1,105,129,82,2,"cin",211833.6367,222,"3",2.04660355499982,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","Naive","f",26,200
"S8","conv5",0,3,2000,4,15,1,96,129,2,"cin",211833.6367,223,"1",2.65372470000011,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","conv3",0,1,2000,6,1,106,129,74,2,"cin",211833.6367,224,"2",2.26467184499961,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","PS",1,3,2000,9,1,9,129,128,2,"cin",211833.6367,225,"3",2.2690372549996,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv1",1,3,2000,1,13,1,86,129,2,"cin",211833.6367,226,"3",2.27522263499986,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","Naive","f",26,200
"S8","conv2",1,2,2000,7,29,1,89,129,2,"cin",211833.6367,227,"3",2.27530587999945,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","Naive","f",26,200
"S8","conv3",0,1,2000,4,77,1,109,129,2,"cin",211833.6367,228,"2",2.33270190499979,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv3",0,2,2000,2,1,97,129,67,2,"cin",211833.6367,229,"3",2.29321354999956,NA,NA,0,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv5",0,3,2000,9,110,1,127,129,2,"cin",211833.6367,230,"3",2.39407453999956,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","Naive","f",26,200
"S8","PS",0,2,2000,7,110,1,72,129,2,"cin",211833.6367,231,"2",2.13481161999971,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","Naive","f",26,200
"S8","conv3",0,1,2000,1,1,83,129,93,2,"cin",211833.6367,232,"3",2.23460056999966,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv3",1,1,2000,10,1,68,129,95,2,"cin",211833.6367,233,"1",2.21343246999959,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","Naive","f",26,200
"S8","PS",0,3,2000,3,1,35,129,15,2,"cin",211833.6367,234,"3",2.22324330999982,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","Naive","f",26,200
"S8","conv1",0,1,2000,5,1,59,129,89,2,"cin",211833.6367,235,"1",2.1585514999997,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","Naive","f",26,200
"S8","conv1",1,2,2000,6,1,41,129,51,2,"cin",211833.6367,236,"2",1.95091561999971,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","Naive","f",26,200
"S8","conv4",1,1,2000,1,1,26,129,30,2,"cin",211833.6367,237,"2",2.2856365749999,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","Naive","f",26,200
"S8","conv3",1,3,2000,6,1,71,129,55,2,"cin",211833.6367,238,"2",2.44974656999966,NA,NA,0,"BrickRound0043_1_S","Bricks","Inspection","Naive","f",26,200
